,num_tokens,num_types,avg_word_length,char_count,ttr,cttr,herdan_c,simpson_div,yules_k,num_content_words,lexical_density,avg_polysemy,num_long_words,long_word_ratio,hapax_legomena,hapax_ratio,num_stopwords,stopword_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,entropy,top_word_freq,unique_bigram_approx
0,31,22,5.741935483870968,178,0.7096774193548387,2.794002794004191,0.9001321988972736,0.9386056191467222,291.36316337148804,21,0.6774193548387096,7.352941176470588,9,0.2903225806451613,17,0.5483870967741935,10,0.3225806451612903,0.41935483870967744,0.12903225806451613,0.16129032258064516,0.0,4.260332600569877,4,30
1,45,36,5.933333333333334,267,0.8,3.794733192202055,0.9413807890996732,0.9669135802469135,108.64197530864197,28,0.6222222222222222,10.458333333333334,21,0.4666666666666667,29,0.6444444444444445,17,0.37777777777777777,0.3333333333333333,0.15555555555555556,0.13333333333333333,0.0,5.058302540677965,3,44
2,16,13,5.6875,91,0.8125,2.2980970388562794,0.925109929535273,0.890625,468.75,11,0.6875,7.875,7,0.4375,12,0.75,5,0.3125,0.4375,0.1875,0.0,0.0625,3.5,4,15
3,20,19,5.1,102,0.95,3.00416377715996,0.9828778776927557,0.945,50.0,13,0.65,6.923076923076923,5,0.25,18,0.9,7,0.35,0.5,0.05,0.1,0.0,4.221928094887362,2,19
4,25,21,5.28,132,0.84,2.9698484809834995,0.9458340748040764,0.9376,224.0,16,0.64,5.6875,6,0.24,19,0.76,9,0.36,0.48,0.08,0.12,0.0,4.243856189774723,4,24
5,58,42,4.9655172413793105,288,0.7241379310344828,3.8996021017180893,0.9205078383258445,0.9673008323424495,154.57788347205707,33,0.5689655172413793,10.655172413793103,20,0.3448275862068966,33,0.5689655172413793,25,0.43103448275862066,0.3275862068965517,0.1896551724137931,0.08620689655172414,0.0,5.191960469557041,5,57
6,18,17,4.444444444444445,80,0.9444444444444444,2.8333333333333335,0.9802245459658266,0.9382716049382716,61.72839506172839,12,0.6666666666666666,4.833333333333333,3,0.16666666666666666,16,0.8888888888888888,6,0.3333333333333333,0.5,0.1111111111111111,0.1111111111111111,0.0,4.058813890331201,2,17
7,22,21,5.318181818181818,117,0.9545454545454546,3.165869118066518,0.9849500560613943,0.9504132231404958,41.32231404958678,13,0.5909090909090909,9.076923076923077,8,0.36363636363636365,20,0.9090909090909091,9,0.4090909090909091,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.045454545454545456,4.368522527728204,2,21
8,13,12,5.384615384615385,70,0.9230769230769231,2.3533936216582085,0.9687936498860342,0.9112426035502958,118.34319526627219,9,0.6923076923076923,7.333333333333333,5,0.38461538461538464,11,0.8461538461538461,4,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.07692307692307693,3.5465935642949384,2,12
9,20,17,4.45,89,0.85,2.687936011143122,0.945749848565416,0.9349999999999999,150.0,16,0.8,6.5,3,0.15,14,0.7,4,0.2,0.6,0.15,0.0,0.0,4.021928094887363,2,19
10,32,30,5.46875,175,0.9375,3.75,0.9813781191217037,0.96484375,39.0625,22,0.6875,9.45,10,0.3125,28,0.875,10,0.3125,0.4375,0.125,0.125,0.09375,4.875,2,31
11,22,21,5.363636363636363,118,0.9545454545454546,3.165869118066518,0.9849500560613943,0.9504132231404958,41.32231404958678,15,0.6818181818181818,5.933333333333334,6,0.2727272727272727,20,0.9090909090909091,7,0.3181818181818182,0.4090909090909091,0.18181818181818182,0.22727272727272727,0.0,4.368522527728205,2,21
